Time,Open,High,Low,Close
16-09-2008,1.42423,1.42826,1.40699,1.41656
17-09-2008,1.41667,1.43837,1.40966,1.4335
18-09-2008,1.43353,1.45404,1.42772,1.42985
19-09-2008,1.42982,1.44975,1.41494,1.44646
21-09-2008,1.44698,1.45012,1.4433,1.44887
22-09-2008,1.44877,1.4864,1.44513,1.48008
23-09-2008,1.48003,1.48264,1.46195,1.46831
24-09-2008,1.46822,1.47451,1.45996,1.4651
25-09-2008,1.46506,1.47667,1.45584,1.46624
26-09-2008,1.4663,1.46777,1.45538,1.46108
28-09-2008,1.45811,1.45811,1.4507,1.45357
29-09-2008,1.45356,1.45675,1.43001,1.43655
30-09-2008,1.43677,1.44243,1.40067,1.41178
01-10-2008,1.4119,1.4174,1.39755,1.39905
02-10-2008,1.399,1.40145,1.37455,1.3786
03-10-2008,1.3786,1.39065,1.37025,1.37705
05-10-2008,1.36686,1.3704,1.361,1.3649
06-10-2008,1.3649,1.367,1.3443,1.3515
07-10-2008,1.3515,1.37425,1.34815,1.357
08-10-2008,1.35687,1.37535,1.35429,1.3608
09-10-2008,1.36079,1.37812,1.35528,1.35568
10-10-2008,1.35567,1.36407,1.32592,1.34091
12-10-2008,1.35653,1.36181,1.35412,1.35955
13-10-2008,1.35969,1.36795,1.34498,1.36528
14-10-2008,1.3654,1.37639,1.35585,1.35616
15-10-2008,1.35583,1.36847,1.3421,1.34334
16-10-2008,1.34333,1.35329,1.33467,1.34835
17-10-2008,1.34814,1.35116,1.33846,1.34052
19-10-2008,1.34216,1.34437,1.33917,1.34418
20-10-2008,1.34435,1.35299,1.32871,1.33373
21-10-2008,1.3338,1.33514,1.29995,1.30052
22-10-2008,1.30056,1.3031,1.27257,1.27701
23-10-2008,1.27699,1.30016,1.27319,1.28979
24-10-2008,1.28987,1.29033,1.24941,1.2619
26-10-2008,1.25557,1.2621,1.25293,1.26188
27-10-2008,1.26219,1.26774,1.23331,1.24602
28-10-2008,1.24645,1.28374,1.2329,1.28055
29-10-2008,1.28055,1.2991,1.26235,1.2956
30-10-2008,1.29565,1.3285,1.2805,1.28685
31-10-2008,1.28715,1.2885,1.26675,1.27245
02-11-2008,1.2745,1.2783,1.27355,1.27711
03-11-2008,1.27725,1.28985,1.2575,1.26135
04-11-2008,1.2615,1.3048,1.2525,1.2981
05-11-2008,1.2981,1.31145,1.27925,1.29135
06-11-2008,1.29135,1.2932,1.26735,1.26875
07-11-2008,1.26875,1.285,1.2652,1.2716
09-11-2008,1.2816,1.2827,1.2775,1.2823
10-11-2008,1.2823,1.2927,1.27175,1.2745
11-11-2008,1.27455,1.28,1.2476,1.2511
12-11-2008,1.2511,1.2631,1.24365,1.2457
13-11-2008,1.2457,1.28525,1.2388,1.2786
14-11-2008,1.2786,1.2799,1.25765,1.26025
16-11-2008,1.25297,1.2582,1.25145,1.25215
17-11-2008,1.25215,1.27415,1.25115,1.26405
18-11-2008,1.26415,1.27,1.25665,1.26345
19-11-2008,1.26345,1.2814,1.2472,1.2503
20-11-2008,1.2503,1.25935,1.2423,1.2438
21-11-2008,1.2438,1.26375,1.24295,1.25855
23-11-2008,1.2585,1.26535,1.25835,1.264
24-11-2008,1.264,1.296,1.2567,1.29135
25-11-2008,1.2914,1.3081,1.28035,1.303
26-11-2008,1.3031,1.30315,1.2819,1.28935
27-11-2008,1.28945,1.2968,1.2859,1.28925
28-11-2008,1.28925,1.2957,1.2645,1.2689
30-11-2008,1.27093,1.27115,1.26676,1.26676
01-12-2008,1.2667,1.27035,1.2581,1.2596
02-12-2008,1.2596,1.27655,1.2562,1.2708
03-12-2008,1.27085,1.27415,1.2602,1.2704
04-12-2008,1.2704,1.28475,1.2549,1.2773
05-12-2008,1.27725,1.2799,1.2627,1.27198
07-12-2008,1.27254,1.2734,1.27155,1.2729
08-12-2008,1.2729,1.29675,1.27265,1.29125
09-12-2008,1.29125,1.30005,1.2798,1.2926
10-12-2008,1.2926,1.307,1.29035,1.3013
11-12-2008,1.30125,1.3403,1.3005,1.33275
12-12-2008,1.33275,1.3415,1.32505,1.33682
14-12-2008,1.33661,1.34535,1.33637,1.3442
15-12-2008,1.3442,1.3726,1.343,1.3694
16-12-2008,1.3694,1.41475,1.363,1.4065
17-12-2008,1.4064,1.44365,1.4007,1.44055
18-12-2008,1.44055,1.46925,1.41875,1.4293
19-12-2008,1.42915,1.43095,1.38265,1.3911
21-12-2008,1.39315,1.39755,1.39076,1.39755
22-12-2008,1.39755,1.41245,1.39025,1.39519
23-12-2008,1.39519,1.4021,1.39135,1.3933
24-12-2008,1.39335,1.4019,1.3933,1.40008
25-12-2008,1.39997,1.40465,1.39757,1.40125
26-12-2008,1.4012,1.41155,1.39895,1.40182
28-12-2008,1.406,1.41125,1.40568,1.4103
29-12-2008,1.4104,1.43625,1.39165,1.40335
30-12-2008,1.40335,1.4221,1.3988,1.41395
31-12-2008,1.41395,1.41445,1.38505,1.39746
01-01-2009,1.39734,1.40707,1.396,1.39974
02-01-2009,1.40013,1.40255,1.38385,1.39185
04-01-2009,1.38977,1.39595,1.38743,1.39575
05-01-2009,1.39575,1.3961,1.35495,1.36365
06-01-2009,1.3634,1.3637,1.3313,1.35045
07-01-2009,1.3505,1.3747,1.3432,1.36135
08-01-2009,1.36135,1.37965,1.35345,1.3696
09-01-2009,1.36975,1.37305,1.3415,1.34672
11-01-2009,1.34688,1.34735,1.3405,1.34155
12-01-2009,1.3416,1.34455,1.32938,1.3357
13-01-2009,1.33575,1.3358,1.31402,1.31985
14-01-2009,1.31995,1.3337,1.3094,1.32115
15-01-2009,1.3211,1.3234,1.30247,1.31585
16-01-2009,1.31585,1.33425,1.31445,1.3264
18-01-2009,1.33352,1.33845,1.33321,1.3357
19-01-2009,1.33575,1.33805,1.30565,1.30925
20-01-2009,1.30925,1.3102,1.2847,1.28825
21-01-2009,1.28825,1.30855,1.28235,1.3
22-01-2009,1.3,1.3082,1.29085,1.3004
23-01-2009,1.3004,1.30345,1.27675,1.29725
25-01-2009,1.29621,1.29666,1.2878,1.28945
26-01-2009,1.2894,1.32355,1.2861,1.3187
27-01-2009,1.31835,1.3329,1.31165,1.3214
28-01-2009,1.3214,1.3323,1.31015,1.31525
29-01-2009,1.3153,1.3179,1.29165,1.2937
30-01-2009,1.2937,1.29415,1.27625,1.28105
01-02-2009,1.27672,1.27825,1.27462,1.27495
02-02-2009,1.27485,1.28985,1.27055,1.2813
03-02-2009,1.28115,1.30565,1.2801,1.30105
04-02-2009,1.30105,1.30705,1.28125,1.28545
05-02-2009,1.28545,1.2905,1.27615,1.27885
06-02-2009,1.27885,1.29925,1.2747,1.2938
08-02-2009,1.2961,1.2986,1.29443,1.2958
09-02-2009,1.2958,1.30925,1.2872,1.29605
10-02-2009,1.296,1.30735,1.28095,1.29105
11-02-2009,1.2911,1.2998,1.2833,1.28655
12-02-2009,1.28655,1.2943,1.2721,1.28825
13-02-2009,1.2883,1.2942,1.2821,1.28605
15-02-2009,1.27793,1.2807,1.27525,1.27905
16-02-2009,1.27905,1.28245,1.27265,1.2797
17-02-2009,1.27975,1.27995,1.25575,1.25825
18-02-2009,1.25825,1.264,1.25125,1.25655
19-02-2009,1.25655,1.276,1.25565,1.26565
20-02-2009,1.2656,1.2879,1.25565,1.2825
22-02-2009,1.2804,1.2826,1.27905,1.2791
23-02-2009,1.2791,1.29915,1.26645,1.267
24-02-2009,1.2671,1.28775,1.2662,1.287
25-02-2009,1.28705,1.28985,1.26895,1.2716
26-02-2009,1.2716,1.28105,1.2682,1.27175
27-02-2009,1.2717,1.275,1.2604,1.2669
01-03-2009,1.26295,1.26368,1.2585,1.2589
02-03-2009,1.25915,1.2632,1.25385,1.25605
03-03-2009,1.25615,1.26775,1.2521,1.2528
04-03-2009,1.2529,1.2663,1.2456,1.2633
05-03-2009,1.2633,1.2639,1.24805,1.25445
06-03-2009,1.25445,1.27505,1.25375,1.26485
08-03-2009,1.26488,1.27155,1.26488,1.2715
09-03-2009,1.2715,1.27265,1.25555,1.2618
10-03-2009,1.26185,1.28215,1.26105,1.27145
11-03-2009,1.27145,1.28645,1.2616,1.2805
12-03-2009,1.2805,1.29445,1.27315,1.2897
13-03-2009,1.2897,1.2957,1.2862,1.2928
15-03-2009,1.28791,1.2894,1.28375,1.28805
16-03-2009,1.2881,1.3071,1.2867,1.2974
17-03-2009,1.2973,1.3041,1.293,1.3032
18-03-2009,1.30315,1.35345,1.2986,1.3487
19-03-2009,1.34865,1.37375,1.34165,1.36595
20-03-2009,1.36595,1.3726,1.3517,1.35795
22-03-2009,1.362,1.3674,1.36173,1.36265
23-03-2009,1.36265,1.3736,1.3485,1.36175
24-03-2009,1.36175,1.3678,1.34305,1.3481
25-03-2009,1.3481,1.36465,1.3418,1.3574
26-03-2009,1.3574,1.36385,1.3494,1.3527
27-03-2009,1.3528,1.3591,1.32565,1.3287
29-03-2009,1.32282,1.32845,1.32105,1.3266
30-03-2009,1.32665,1.328,1.3116,1.31875
31-03-2009,1.3188,1.33425,1.31735,1.3256
01-04-2009,1.32565,1.3286,1.31665,1.32435
02-04-2009,1.32405,1.3517,1.324,1.3472
03-04-2009,1.3472,1.3495,1.3365,1.34835
05-04-2009,1.34955,1.3552,1.34934,1.3535
06-04-2009,1.3535,1.35815,1.3322,1.3322
07-04-2009,1.3322,1.3397,1.32265,1.3268
08-04-2009,1.3268,1.33075,1.3148,1.3251
09-04-2009,1.3251,1.33355,1.3097,1.3121
10-04-2009,1.312,1.31875,1.3092,1.31845
12-04-2009,1.31862,1.3189,1.31515,1.31535
13-04-2009,1.31535,1.33915,1.3127,1.3375
14-04-2009,1.3375,1.3377,1.3226,1.32675
15-04-2009,1.32675,1.32975,1.3146,1.32215
16-04-2009,1.3223,1.3268,1.31265,1.31855
17-04-2009,1.31845,1.3193,1.3017,1.3043
19-04-2009,1.30577,1.30591,1.3006,1.3007
20-04-2009,1.30065,1.3018,1.2891,1.2904
21-04-2009,1.2904,1.29935,1.28965,1.29355
22-04-2009,1.2935,1.3037,1.28845,1.30075
23-04-2009,1.30065,1.31605,1.29795,1.3125
24-04-2009,1.3125,1.3301,1.31125,1.32395
26-04-2009,1.3244,1.32458,1.32185,1.32185
27-04-2009,1.32185,1.32185,1.29985,1.3023
28-04-2009,1.3023,1.3166,1.29635,1.3131
29-04-2009,1.31305,1.3339,1.312,1.32655
30-04-2009,1.32655,1.33855,1.31905,1.3244
01-05-2009,1.32435,1.33275,1.3227,1.32705
03-05-2009,1.32678,1.32899,1.32636,1.32873
04-05-2009,1.32872,1.34375,1.3212,1.3415
05-05-2009,1.34145,1.34355,1.3282,1.33035
06-05-2009,1.3303,1.33745,1.32455,1.33
07-05-2009,1.33,1.347,1.32515,1.3386
08-05-2009,1.33855,1.365,1.33415,1.3639
10-05-2009,1.3644,1.3656,1.36145,1.36315
11-05-2009,1.36315,1.3667,1.3557,1.3584
12-05-2009,1.35835,1.37075,1.35625,1.36765
13-05-2009,1.36765,1.3722,1.3534,1.354
14-05-2009,1.354,1.3665,1.35245,1.3631
15-05-2009,1.36305,1.365,1.3462,1.34945
17-05-2009,1.34778,1.3489,1.3442,1.3453
18-05-2009,1.3454,1.3563,1.3423,1.355
19-05-2009,1.355,1.3668,1.353,1.3643
20-05-2009,1.3642,1.3829,1.35835,1.3783
21-05-2009,1.3782,1.39405,1.3728,1.39405
22-05-2009,1.39405,1.405,1.38995,1.39955
24-05-2009,1.40169,1.4048,1.4016,1.40255
25-05-2009,1.4025,1.40275,1.39575,1.4009
26-05-2009,1.40085,1.4022,1.386,1.3992
27-05-2009,1.3992,1.3996,1.38223,1.38315
28-05-2009,1.38315,1.3983,1.3793,1.39475
29-05-2009,1.39475,1.41685,1.39425,1.41565
31-05-2009,1.41449,1.4145,1.41,1.41041
01-06-2009,1.4105,1.4246,1.4099,1.41805
02-06-2009,1.418,1.4331,1.41015,1.42885
03-06-2009,1.4289,1.4337,1.41085,1.4142
04-06-2009,1.41415,1.4241,1.407,1.41675
05-06-2009,1.41675,1.42675,1.39325,1.3965
07-06-2009,1.3968,1.3977,1.39268,1.39745
08-06-2009,1.39745,1.4002,1.3805,1.39285
09-06-2009,1.39285,1.4101,1.3852,1.4062
10-06-2009,1.4062,1.41435,1.3915,1.3988
11-06-2009,1.39875,1.41715,1.3943,1.41245
12-06-2009,1.4124,1.4127,1.3936,1.4015
14-06-2009,1.39929,1.40002,1.39661,1.39763
15-06-2009,1.3976,1.39814,1.37575,1.37737
16-06-2009,1.3775,1.39196,1.37484,1.38143
17-06-2009,1.38138,1.39699,1.38107,1.39681
18-06-2009,1.39627,1.39897,1.38819,1.3908
19-06-2009,1.39076,1.4012,1.3883,1.3938
21-06-2009,1.39468,1.3955,1.39244,1.39355
22-06-2009,1.39355,1.39355,1.3826,1.3849
23-06-2009,1.3849,1.4108,1.38285,1.4069
24-06-2009,1.4069,1.4138,1.38875,1.39415
25-06-2009,1.39415,1.40117,1.38885,1.40092
26-06-2009,1.40086,1.4118,1.40066,1.4053
28-06-2009,1.40609,1.40765,1.40449,1.40695
29-06-2009,1.40697,1.40703,1.40679,1.40691
30-06-2009,1.40978,1.40988,1.40962,1.4098
01-07-2009,1.40364,1.41993,1.39978,1.41447
02-07-2009,1.41446,1.41488,1.39256,1.39596
03-07-2009,1.39592,1.40282,1.39494,1.39792
05-07-2009,1.39591,1.39693,1.39485,1.39573
06-07-2009,1.39581,1.39977,1.38749,1.39914
07-07-2009,1.39913,1.40497,1.38853,1.38957
08-07-2009,1.38934,1.39391,1.38294,1.38615
09-07-2009,1.38608,1.40722,1.38582,1.4009
10-07-2009,1.40084,1.40116,1.38734,1.39351
12-07-2009,1.39364,1.39757,1.39361,1.39712
13-07-2009,1.39722,1.40038,1.38942,1.40015
14-07-2009,1.40032,1.40136,1.39084,1.39787
15-07-2009,1.39786,1.41335,1.39662,1.40908
16-07-2009,1.40924,1.41648,1.40536,1.41309
17-07-2009,1.41314,1.41492,1.40599,1.40986
19-07-2009,1.40953,1.41365,1.40904,1.41333
20-07-2009,1.41344,1.42494,1.41244,1.42075
21-07-2009,1.42071,1.4276,1.41601,1.41972
22-07-2009,1.41967,1.42562,1.41529,1.42008
23-07-2009,1.42013,1.42908,1.41181,1.41609
24-07-2009,1.41614,1.42529,1.41337,1.42006
26-07-2009,1.42057,1.42316,1.41862,1.41913
27-07-2009,1.41919,1.42967,1.41692,1.4244
28-07-2009,1.42448,1.43028,1.41277,1.41451
29-07-2009,1.41451,1.41949,1.40043,1.40137
30-07-2009,1.40151,1.4094,1.40124,1.40831
31-07-2009,1.40831,1.42796,1.40759,1.42555
02-08-2009,1.42535,1.43084,1.42432,1.42873
03-08-2009,1.42866,1.44444,1.42025,1.44065
04-08-2009,1.44064,1.44295,1.43645,1.44147
05-08-2009,1.44135,1.44469,1.4354,1.4408
06-08-2009,1.44085,1.44284,1.43261,1.43683
07-08-2009,1.43695,1.44111,1.41533,1.41804
09-08-2009,1.41828,1.41976,1.41646,1.41917
10-08-2009,1.41913,1.42177,1.41014,1.41289
11-08-2009,1.41287,1.41849,1.41066,1.41507
12-08-2009,1.41485,1.42463,1.40827,1.42157
13-08-2009,1.42154,1.43264,1.42063,1.42718
14-08-2009,1.42724,1.43058,1.41561,1.42011
16-08-2009,1.41972,1.41972,1.41666,1.41677
17-08-2009,1.41661,1.41694,1.4044,1.41055
18-08-2009,1.41071,1.41529,1.40657,1.41271
19-08-2009,1.41405,1.42656,1.40804,1.42475
20-08-2009,1.42488,1.42738,1.41999,1.42532
21-08-2009,1.42533,1.43776,1.42043,1.43247
23-08-2009,1.43253,1.43478,1.43253,1.43381
24-08-2009,1.43386,1.43572,1.42775,1.4288
25-08-2009,1.42943,1.43609,1.42496,1.42862
26-08-2009,1.42828,1.43508,1.42026,1.42332
27-08-2009,1.4236,1.44054,1.42157,1.43704
